name,domain,pddl_num_predicates,pddl_num_action_schemas,pddl_has_derived_predicates,pddl_has_conditional_effects,pddl_has_negative_preconditions,pddl_precond_atoms_min,pddl_precond_atoms_mean,pddl_precond_atoms_max,pddl_add_eff_min,pddl_add_eff_mean,pddl_add_eff_max,pddl_del_eff_min,pddl_del_eff_mean,pddl_del_eff_max,pddl_num_objects,pddl_num_object_types,pddl_objects_by_type_total,pddl_objects_by_type_min,pddl_objects_by_type_max,pddl_objects_by_type_mean,pddl_objects_by_type_std,pddl_objects_by_type_entropy,pddl_objects_by_type_gini,pddl_objects_by_type_top1_frac,pddl_objects_by_type_top2_frac,pddl_objects_by_type_top3_frac,pddl_init_atoms,pddl_goal_atoms,fd_translate_seconds,fd_sas_num_vars,fd_sas_var_domain_min,fd_sas_var_domain_mean,fd_sas_var_domain_max,fd_sas_total_facts_proxy,fd_sas_num_operators,fd_sas_op_prevail_min,fd_sas_op_prevail_mean,fd_sas_op_prevail_max,fd_sas_op_effects_min,fd_sas_op_effects_mean,fd_sas_op_effects_max,fd_sas_num_mutex_groups,fd_sas_mutex_size_min,fd_sas_mutex_size_mean,fd_sas_mutex_size_max,fd_sas_num_axioms,sas_sas_domain_std,sas_sas_domain_median,sas_sas_domain_p25,sas_sas_domain_p75,sas_sas_domain_entropy,sas_op_prevail_std,sas_op_prevail_median,sas_op_effects_std,sas_op_effects_median,sas_op_mean_affected_vars,sas_op_mean_condition_vars,sas_op_affected_vars_fraction,sas_op_condition_vars_fraction,sas_op_mean_cond_to_eff_ratio,sas_cg_num_edges,sas_cg_edge_density,sas_cg_avg_out_degree,sas_cg_max_out_degree,sas_cg_avg_in_degree,sas_cg_max_in_degree,sas_cg_num_sources,sas_cg_num_sinks,sas_cg_num_isolated,sas_dtg_trans_min,sas_dtg_trans_mean,sas_dtg_trans_max,sas_dtg_trans_std,sas_dtg_trans_median,heur_probe_seconds,heur_h_ff_init,heur_h_add_init,heur_h_max_init,heur_helpful_actions_proxy,heur_relaxed_plan_length,heur_goal_count,heur_del_init_effect_fraction,heur_del_init_op_fraction,heur_del_init_effects_mean,heur_del_init_effects_max,lm_probe_seconds,lm_lm_num_landmarks,lm_lm_num_orderings_total,lm_lm_num_reasonable_orders,lm_lm_num_necessary_orders,lm_lm_num_greedy_necessary_orders,lm_lm_num_conjunctive_landmarks,lm_lm_num_disjunctive_landmarks,lm_goal_count,lm_landmarks_per_goal,lm_orderings_per_landmark
p01.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,56,5,56,4,22,11.2,5.878775382679628,1.4784648298747227,0.2571428571428571,0.39285714285714285,0.5714285714285714,0.75,401,1,27.216140142998483,99,2,2.95959595959596,23,293,246879,0,3.583314093138744,4,1,3.1045491921143555,16,0,0,0.0,0,0,2.9743658756117877,2.0,2.0,2.0,4.306038845801013,0.7346193583566805,4.0,0.5391237830087463,3.0,3.1045491921143555,3.583314093138744,1.0,0.494949494949495,1.1806658318585552,742,0.07647907647907648,7.494949494949495,73,7.494949494949495,31,6,44,6,1.0,7741.89898989899,242770.0,32279.61233589173,570.0,6.316052730999218,25.0,304.0,382.0,576,25,1,0.36724865874788637,0.9765755694084957,1.1401415268208313,3.0,11.9522472259996,52,350,18,0,332,0,0,1,52.0,6.730769230769231
p02.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,59,5,59,5,22,11.8,5.6000000000000005,1.5026102372380863,0.24406779661016964,0.3728813559322034,0.576271186440678,0.7457627118644068,408,1,33.778857901001174,109,2,2.8807339449541285,23,314,298119,0,3.4392038078753786,4,1,3.1133473545798824,16,0,0,0.0,0,0,2.853373251235472,2.0,2.0,2.0,4.415042194964261,0.7416071828099882,4.0,0.5658952973104142,3.0,3.1133473545798824,3.4392038078753786,1.0,0.5045871559633027,1.132128892225864,898,0.07628270472307169,8.238532110091743,79,8.238532110091743,34,6,47,7,1.0,8515.119266055046,291324.0,37106.09912988904,760.0,6.353947838997556,30.0,636.0,386.0,617,30,1,0.36396027357705885,0.9705922802639214,1.1331347549133064,3.0,10.727832373002457,62,497,21,0,476,0,0,1,62.0,8.016129032258064
p03.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,62,5,62,6,22,12.4,5.425863986500215,1.5182312356298364,0.23225806451612918,0.3548387096774194,0.5806451612903226,0.7419354838709677,415,1,39.5362876850013,120,2,2.808333333333333,23,337,352017,0,3.651031058159123,4,1,3.130115875085578,16,0,0,0.0,0,0,2.7395128317924624,2.0,2.0,2.0,4.523528765402387,0.7521465323615939,4.0,0.6137646928272473,3.0,3.130115875085578,3.651031058159123,1.0,0.5166666666666667,1.201786892469232,1106,0.07745098039215687,9.216666666666667,85,9.216666666666667,41,6,50,8,1.0,9182.116666666667,339878.0,41566.385874121755,70.0,8.303963475002092,34.0,1292.0,390.0,688,34,1,0.3577588319323613,0.9592292417695736,1.1198265992835574,3.0,15.741162307000195,71,664,24,0,640,0,0,1,71.0,9.352112676056338
p04.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,64,5,64,7,22,12.8,5.2687759489277965,1.5292462100208564,0.21875,0.34375,0.578125,0.734375,419,1,42.48780508400159,127,2,2.7716535433070866,23,352,380632,0,3.4152225771874147,4,1,3.142710019126085,16,0,0,0.0,0,0,2.6803131100967916,2.0,2.0,2.0,4.586603822335988,0.7549731385553058,4.0,0.6466100867950219,3.0,3.142710019126085,3.4152225771874147,1.0,0.5275590551181102,1.1224675448331598,1247,0.07792775903012124,9.818897637795276,89,9.818897637795276,44,6,52,8,1.0,9419.023622047243,364155.0,43521.30674755975,28.0,10.786214799998561,40.0,2668.0,572.0,678,40,1,0.35313689166505047,0.9506741419533828,1.109806847558797,3.0,18.928518589000305,80,854,27,0,827,0,0,1,80.0,10.675
p05.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,66,5,66,8,22,13.2,5.1536394906900505,1.5373579583440158,0.20606060606060606,0.3333333333333333,0.5757575757575758,0.7272727272727273,423,1,45.02740165499927,134,2,2.7388059701492535,23,367,409913,0,3.6258645127136733,4,1,3.1557476830449387,16,0,0,0.0,0,0,2.628571783130306,2.0,2.0,2.0,4.645874517889357,0.7699889769347943,4.0,0.6786925646980551,3.0,3.1557476830449387,3.6258645127136733,1.0,0.5373134328358209,1.1919396306967636,1402,0.0786668162944675,10.462686567164178,93,10.462686567164178,49,6,54,8,1.0,9653.597014925374,388432.0,45443.724739460034,28.0,25.937332933001016,44.0,5356.0,573.0,728,44,1,0.3483907475521459,0.9418169221273782,1.0994332943819787,3.0,30.018079278997902,89,1069,30,0,1039,0,0,1,89.0,12.01123595505618
p06.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,68,5,68,9,22,13.6,5.083306010855534,1.5431211775474964,0.1941176470588235,0.3235294117647059,0.5735294117647058,0.7205882352941176,427,1,47.72548293499858,141,2,2.7092198581560285,23,382,439860,0,3.3936320647478744,4,1,3.169081071249943,16,0,0,0.0,0,0,2.5834690161362786,2.0,2.0,2.0,4.701767730162225,0.7661926985671454,4.0,0.7097560850022975,3.0,3.169081071249943,3.3936320647478744,1.0,0.5460992907801419,1.1137699870504323,1567,0.07938196555217832,11.113475177304965,97,11.113475177304965,52,6,56,8,1.0,9886.18439716312,412709.0,47339.08829622483,28.0,30.01025953700082,45.0,10348.0,402.0,718,45,1,0.3435771102591768,0.9327581503205565,1.0888237166371117,3.0,30.019148000003042,98,1311,33,0,1278,0,0,1,98.0,13.377551020408163
p07.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,70,5,70,10,22,14.0,5.059644256269407,1.5469641219659975,0.18285714285714283,0.3142857142857143,0.5714285714285714,0.7142857142857143,431,1,52.50720250499944,148,2,2.6824324324324325,23,397,470473,0,3.599494551228232,4,1,3.182597088462037,16,0,0,0.0,0,0,2.544302490733667,2.0,2.0,2.0,4.754640840303338,0.7873976828051235,4.0,0.7396690587498683,3.0,3.182597088462037,3.599494551228232,1.0,0.5540540540540541,1.181621509591321,1746,0.08025372311086597,11.797297297297296,101,11.797297297297296,57,6,58,8,1.0,10117.067567567568,436986.0,49212.09162674574,28.0,21.81946241699916,51.0,21228.0,574.0,768,51,1,0.33873852454308545,0.9235747853755688,1.0780682419607501,3.0,30.016107791998365,107,1580,36,0,1544,0,0,1,107.0,14.766355140186915
p08.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,72,5,72,10,22,14.4,5.083306010855534,1.5492241129228845,0.18333333333333335,0.3055555555555556,0.5694444444444444,0.7222222222222222,435,1,58.966252022000845,155,2,2.6580645161290324,23,412,501752,0,3.589532278894753,4,1,3.1961905483186914,16,0,0,0.0,0,0,2.510465089097955,2.0,2.0,2.0,4.8047967779025145,0.7824109215925005,4.0,0.7683409519687117,3.0,3.1961905483186914,3.589532278894753,1.0,0.5612903225806452,1.178094954884961,1925,0.08064516129032258,12.419354838709678,105,12.419354838709678,61,7,60,8,1.0,10346.41935483871,461263.0,51066.81986521896,28.0,23.702894138004922,55.0,42476.0,410.0,758,55,1,0.33390887918213874,0.914326200991725,1.0672364036416397,3.0,30.020959449000657,116,1872,39,0,1833,0,0,1,116.0,16.137931034482758
p09.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,74,5,74,10,22,14.8,5.1536394906900505,1.550171024254174,0.1837837837837839,0.2972972972972973,0.5675675675675675,0.7297297297297297,439,1,59.31525857000088,162,2,2.6358024691358026,23,427,533697,0,3.5727257226478697,4,1,3.2098287979883717,16,0,0,0.0,0,0,2.481427737271941,2.0,2.0,2.0,4.85249492712557,0.8038056479771736,4.0,0.7958356365185714,3.0,3.2098287979883717,3.5727257226478697,1.0,0.5679012345679012,1.171148360322068,2127,0.08155049459397286,13.12962962962963,109,13.12962962962963,65,7,62,8,1.0,10574.543209876543,485540.0,52906.807201419106,28.0,30.043203863999224,59.0,84972.0,582.0,808,59,1,0.3291085742839197,0.9050584882433291,1.0563821794014208,3.0,30.025111960996583,125,2187,42,0,2145,0,0,1,125.0,17.496
p10.pddl,agricola-sat18-strips,32,22,0,0,1,1,6.318181818181818,10,2,3.772727272727273,18,1,2.3636363636363638,5,76,5,76,10,22,15.2,5.2687759489277965,1.5500234893263873,0.1842105263157896,0.2894736842105263,0.5657894736842105,0.7368421052631579,443,1,67.12430501000199,169,2,2.6153846153846154,23,442,566308,0,3.3490944856862344,4,1,3.2234420138864364,16,0,0,0.0,0,0,2.4567260650263556,2.0,2.0,2.0,4.897959288980628,0.7869810917744055,4.0,0.8221375414391062,3.0,3.2234420138864364,3.3490944856862344,1.0,0.5739644970414202,1.0958295953089519,2339,0.08238236122851507,13.840236686390533,113,13.840236686390533,68,7,64,8,1.0,10801.544378698225,509817.0,54735.18860561108,29.0,30.045172788995842,63.0,169964.0,586.0,798,63,1,0.3243575184569816,0.8958075817399719,1.0455476525141796,3.0,30.04367279700091,-1,-1,-1,-1,-1,-1,-1,1,0.0,0.0
