problem,domain,solver,solved,plan_length,plan_cost,expanded,reopened,evaluated,evaluations,generated,dead_ends,search_time,total_time
p01.pddl,agricola-sat18-strips,1,1,53,3275,910,0,1173,2084,6099,262,2.022904,6.096903
p02.pddl,agricola-sat18-strips,1,1,66,4004,110,0,120,231,693,9,0.285716,5.946223
p03.pddl,agricola-sat18-strips,1,1,83,4737,165,0,172,338,1036,6,0.598562,8.639569
p04.pddl,agricola-sat18-strips,1,1,88,5100,238,0,267,506,1529,28,1.159198,10.514911
p05.pddl,agricola-sat18-strips,1,1,98,5468,838,0,1025,1864,5315,186,4.948812,16.071175
p06.pddl,agricola-sat18-strips,1,1,103,5831,1573,0,2655,4229,5781,1081,8.614392,21.310883
p07.pddl,agricola-sat18-strips,1,1,116,6202,444,0,509,954,2867,64,3.52817,18.639189
p08.pddl,agricola-sat18-strips,1,1,125,6569,475,0,549,1025,2985,73,3.953927,21.131795
p09.pddl,agricola-sat18-strips,1,1,133,6935,1375,0,2146,3522,6415,770,14.348712,34.150816
p10.pddl,agricola-sat18-strips,1,1,141,7301,6376,0,10903,17280,22517,4526,71.719617,94.474111
p11.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
p12.pddl,agricola-sat18-strips,1,1,78,1246,11038,0,13424,24463,75568,2385,3.701758,4.245674
p13.pddl,agricola-sat18-strips,1,1,95,1406,264586,0,451149,715736,1152663,186562,123.000026,123.725828
p14.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
p15.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
p16.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
p17.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
p18.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
p19.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
p20.pddl,agricola-sat18-strips,1,0,,,,,,,,,,
pfile06-021.pddl,barman-sat11-strips,1,1,157,310,5195,0,5207,10403,51877,11,0.147635,0.169177
pfile06-022.pddl,barman-sat11-strips,1,1,147,300,4388,0,4422,8811,48665,33,0.114469,0.133133
pfile06-023.pddl,barman-sat11-strips,1,1,177,330,6389,0,6390,12780,64905,0,0.158757,0.175643
pfile06-024.pddl,barman-sat11-strips,1,1,154,307,5141,0,5164,10306,52477,22,0.132888,0.151245
pfile07-025.pddl,barman-sat11-strips,1,1,162,342,4957,0,4962,9920,59191,4,0.147694,0.168043
pfile07-026.pddl,barman-sat11-strips,1,1,222,447,21245,0,21254,42500,212507,8,0.583367,0.605547
pfile07-027.pddl,barman-sat11-strips,1,1,146,317,2501,0,2502,5004,29257,0,0.0738,0.095317
pfile07-028.pddl,barman-sat11-strips,1,1,160,331,5910,0,5914,11825,70706,3,0.173488,0.195765
pfile08-029.pddl,barman-sat11-strips,1,1,188,395,9179,0,9181,18361,114767,1,0.321206,0.350887
pfile08-030.pddl,barman-sat11-strips,1,1,165,354,6379,0,6383,12763,88456,3,0.225233,0.25127
pfile08-031.pddl,barman-sat11-strips,1,1,231,465,738323,0,894528,1632852,5977093,156204,30.678875,30.708297
pfile08-032.pddl,barman-sat11-strips,1,1,208,433,9927,0,9930,19858,125202,2,0.350761,0.378372
pfile09-033.pddl,barman-sat11-strips,1,1,252,504,36078,0,36079,72158,441129,0,1.417781,1.447208
pfile09-034.pddl,barman-sat11-strips,1,1,231,465,19888,0,19889,39778,237283,0,0.723679,0.753405
pfile09-035.pddl,barman-sat11-strips,1,1,226,451,8618,0,8619,17238,106177,0,0.328615,0.361034
pfile09-036.pddl,barman-sat11-strips,1,1,213,429,39532,0,39547,79080,467664,14,1.480565,1.5103
pfile10-037.pddl,barman-sat11-strips,1,1,225,441,7979,0,7980,15960,104678,0,0.328614,0.363118
pfile10-038.pddl,barman-sat11-strips,1,1,273,516,29628,0,29629,59258,377118,0,1.199989,1.235135
pfile10-039.pddl,barman-sat11-strips,1,1,216,441,4176,0,4219,8396,51889,42,0.185224,0.215576
pfile10-040.pddl,barman-sat11-strips,1,1,191,407,9465,0,9466,18932,141153,0,0.390213,0.423651
p1-11-4-15.pddl,barman-sat14-strips,1,1,240,240,8344,0,8345,16690,108218,0,0.343988,0.377697
p1-11-5-15.pddl,barman-sat14-strips,1,1,221,221,6722,0,6723,13446,93375,0,0.321309,0.360937
p1-11-5-16.pddl,barman-sat14-strips,1,1,168,168,7921,0,7926,15848,125936,4,0.374215,0.415671
p2-10-4-13.pddl,barman-sat14-strips,1,1,258,258,194310,0,224235,418546,1642792,29924,7.412945,7.438805
p2-11-4-15.pddl,barman-sat14-strips,1,1,204,204,21607,0,21613,43221,289559,5,0.856615,0.891672
p2-11-5-15.pddl,barman-sat14-strips,1,1,159,159,5666,0,5673,11340,88019,6,0.262151,0.301847
p2-11-5-16.pddl,barman-sat14-strips,1,1,218,218,10708,0,10709,21418,149427,0,0.498454,0.539302
p2-11-5-17.pddl,barman-sat14-strips,1,1,235,235,23047,0,23071,46119,320884,23,1.159369,1.205822
p3-10-4-13.pddl,barman-sat14-strips,1,1,223,223,31987,0,31988,63976,368643,0,1.078139,1.10684
p3-11-4-15.pddl,barman-sat14-strips,1,1,262,262,36707,0,36714,73422,472596,6,1.487973,1.52138
p3-11-5-15.pddl,barman-sat14-strips,1,1,222,222,20982,0,21061,42044,255683,78,0.963608,1.000108
p3-11-5-16.pddl,barman-sat14-strips,1,1,196,196,25553,0,25573,51127,361333,19,1.144582,1.184134
p3-11-5-17.pddl,barman-sat14-strips,1,1,310,310,35596,0,35598,71195,508451,1,1.724226,1.7687
p4-11-4-14.pddl,barman-sat14-strips,1,1,212,212,7059,0,7061,14121,89711,1,0.258449,0.288139
p4-11-4-15.pddl,barman-sat14-strips,1,1,234,234,4331641,0,4729612,9061254,34901460,397970,198.759559,198.793003
p4-11-5-15.pddl,barman-sat14-strips,1,1,223,223,21590,0,21591,43182,277708,0,0.96741,1.006232
p5-10-4-13.pddl,barman-sat14-strips,1,1,203,203,5542,0,5543,11086,70667,0,0.195668,0.223985
p5-11-4-15.pddl,barman-sat14-strips,1,1,217,217,8067,0,8068,16136,106044,0,0.339676,0.372611
p5-11-5-15.pddl,barman-sat14-strips,1,1,238,238,22297,0,22359,44657,288839,61,0.99252,1.02966
p5-11-5-16.pddl,barman-sat14-strips,1,1,187,187,7885,0,7920,15806,115672,34,0.380311,0.422956
p01.pddl,caldera-sat18-strips,1,1,11,11,21,0,23,45,356,1,0.0,0.014937
p02.pddl,caldera-sat18-strips,1,1,12,12,22,0,24,47,362,1,0.003616,0.017777
p03.pddl,caldera-sat18-strips,1,1,17,17,56,0,59,116,1600,2,0.011077,0.064974
p04.pddl,caldera-sat18-strips,1,1,16,16,36,0,37,74,1218,0,0.014766,0.107315
p05.pddl,caldera-sat18-strips,1,1,20,20,70,0,75,146,3685,4,0.072131,0.264448
p06.pddl,caldera-sat18-strips,1,1,23,23,79,0,82,162,4246,2,0.044076,0.17627
p07.pddl,caldera-sat18-strips,1,1,27,27,71,0,72,144,6100,0,0.149661,0.666094
p08.pddl,caldera-sat18-strips,1,1,27,27,89,0,96,186,6796,6,0.269521,0.919523
p09.pddl,caldera-sat18-strips,1,1,33,33,1195,0,2980,4176,173137,1784,10.794794,12.196431
p10.pddl,caldera-sat18-strips,1,1,27,27,130,0,133,264,11147,2,0.392751,1.254667
p11.pddl,caldera-sat18-strips,1,1,33,33,133,0,141,275,20738,7,2.762197,5.955654
p12.pddl,caldera-sat18-strips,1,1,33,33,239,0,244,484,27721,4,5.560488,9.609981
p13.pddl,caldera-sat18-strips,1,1,37,37,358,0,892,1251,119697,533,34.617086,41.35182
p14.pddl,caldera-sat18-strips,1,0,,,,,,,,,,
p15.pddl,caldera-sat18-strips,1,1,47,47,287,0,289,577,41083,1,12.572946,24.661848
p16.pddl,caldera-sat18-strips,1,1,43,43,321,0,327,649,86037,5,16.497079,29.086913
p17.pddl,caldera-sat18-strips,1,1,45,45,323,0,324,648,79387,0,48.351123,70.687814
p18.pddl,caldera-sat18-strips,1,0,,,,,,,,,,
p19.pddl,caldera-sat18-strips,1,0,,,,,,,,,,
p20.pddl,caldera-sat18-strips,1,0,,,,,,,,,,
p01.pddl,caldera-split-sat18-strips,1,1,43,78,6986,0,9203,16190,20442,2216,0.147511,0.17345
p02.pddl,caldera-split-sat18-strips,1,1,61,102,21621,0,31509,53131,60567,9887,0.512586,0.530532
p03.pddl,caldera-split-sat18-strips,1,1,73,120,127632,0,223670,351303,488893,96037,7.010265,7.065753
p04.pddl,caldera-split-sat18-strips,1,1,72,114,54573,0,105672,160246,200515,51098,3.547556,3.60669
p05.pddl,caldera-split-sat18-strips,1,1,94,144,154404,0,295886,450291,711750,141481,9.407201,9.454942
p06.pddl,caldera-split-sat18-strips,1,1,84,138,55283,0,98107,153391,272479,42823,2.791605,2.842296
p07.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p08.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p09.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p10.pddl,caldera-split-sat18-strips,1,1,127,186,5902537,0,14655361,20557899,42244598,8752823,758.602818,758.726654
p11.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p12.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p13.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p14.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p15.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p16.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p17.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p18.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p19.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p20.pddl,caldera-split-sat18-strips,1,0,,,,,,,,,,
p01.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p02.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p03.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p04.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p05.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p06.pddl,cave-diving-sat14-strips,1,1,23,94,505590,0,820104,1325695,2634297,314513,4.546579,4.54997
p07.pddl,cave-diving-sat14-strips,1,1,23,95,505590,0,820104,1325695,2634297,314513,5.069839,5.076486
p08.pddl,cave-diving-sat14-strips,1,1,23,131,834483,0,1334607,2169091,4377485,500123,8.279302,8.283295
p09.pddl,cave-diving-sat14-strips,1,1,23,90,505590,0,820104,1325695,2634297,314513,4.473138,4.476518
p10.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p11.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p12.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p13.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p14.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p15.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p16.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p17.pddl,cave-diving-sat14-strips,1,0,,,,,,,,,,
p18.pddl,cave-diving-sat14-strips,1,1,23,131,1424244,0,2383748,3807993,7318783,959503,18.203159,18.207153
p19.pddl,cave-diving-sat14-strips,1,1,23,131,2721824,0,4572396,7294221,14043947,1850571,36.967777,36.973931
p20.pddl,cave-diving-sat14-strips,1,1,23,98,850264,0,1437624,2287889,4344294,587359,10.503898,10.50788
child-snack_pfile05-2.pddl,childsnack-sat14-strips,1,1,56,56,415,0,487,903,214149,71,0.031809,0.039775
child-snack_pfile05.pddl,childsnack-sat14-strips,1,1,53,53,387,0,405,793,217263,17,0.027771,0.038892
child-snack_pfile06-2.pddl,childsnack-sat14-strips,1,1,59,59,370,0,387,758,310096,16,0.035711,0.051672
child-snack_pfile07-2.pddl,childsnack-sat14-strips,1,1,64,64,452,0,472,925,473119,19,0.055603,0.071542
child-snack_pfile08-2.pddl,childsnack-sat14-strips,1,1,69,69,547,0,598,1146,659330,50,0.087366,0.106631
child-snack_pfile08.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile09-2.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile09.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile10-2.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile10.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile11-2.pddl,childsnack-sat14-strips,1,1,86,86,1037,0,1280,2318,2264966,242,0.278114,0.313896
child-snack_pfile11.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile12.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile13-2.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile13.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile14.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile15-2.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile16-2.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile19-2.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
child-snack_pfile19.pddl,childsnack-sat14-strips,1,0,,,,,,,,,,
p01.pddl,city-car-sat14-strips,1,1,20,130,66743,0,67024,133768,7169292,280,1.564055,1.568052
p02.pddl,city-car-sat14-strips,1,1,31,225,597926,0,603924,1201851,40120783,5997,14.666592,14.672726
p03.pddl,city-car-sat14-strips,1,1,35,170,191155,0,192917,384073,16757857,1761,5.557832,5.569177
p04.pddl,city-car-sat14-strips,1,1,52,213,1697331,0,1726570,3423902,136498256,29238,63.549233,63.560606
p05.pddl,city-car-sat14-strips,1,1,45,140,2013471,0,2039257,4052729,147156695,25785,62.662762,62.678836
p06.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p07.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p08.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p09.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p10.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p11.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p12.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p13.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p14.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p15.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p16.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p17.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p18.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p19.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p20.pddl,city-car-sat14-strips,1,0,,,,,,,,,,
p01.pddl,data-network-sat18-strips,1,1,82,732,10188,0,10189,20378,372593,0,0.466544,0.486492
p02.pddl,data-network-sat18-strips,1,1,55,465,698,0,699,1398,29220,0,0.039822,0.059753
p03.pddl,data-network-sat18-strips,1,1,85,592,978,0,979,1958,36797,0,0.055758,0.077538
p04.pddl,data-network-sat18-strips,1,1,174,1224,3298,0,3299,6598,155214,0,0.21896,0.246166
p05.pddl,data-network-sat18-strips,1,1,175,1399,9101,0,9102,18204,382790,0,0.883143,0.925539
p06.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p07.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p08.pddl,data-network-sat18-strips,1,1,352,2260,1217580,0,1217581,2435162,76248707,0,148.150445,148.207145
p09.pddl,data-network-sat18-strips,1,1,319,2406,811573,0,811574,1623148,42806273,0,84.551881,84.599432
p10.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p11.pddl,data-network-sat18-strips,1,1,29,666,2143,0,2144,4288,94945,0,0.083185,0.09904
p12.pddl,data-network-sat18-strips,1,1,31,770,7688,0,7689,15378,450742,0,0.439426,0.462309
p13.pddl,data-network-sat18-strips,1,1,135,2971,133793,0,133794,267588,8714656,0,9.518861,9.549853
p14.pddl,data-network-sat18-strips,1,1,61,1011,577,0,578,1156,37271,0,0.057214,0.093965
p15.pddl,data-network-sat18-strips,1,1,138,2675,85576,0,85577,171154,6295791,0,9.972084,10.01685
p16.pddl,data-network-sat18-strips,1,1,140,2078,1593604,0,1593605,3187210,152735996,0,229.742457,229.802158
p17.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p18.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p19.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p20.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p01.pddl,elevators-sat08-strips,1,1,20,66,94,0,95,190,1679,0,0.0,0.002709
p02.pddl,elevators-sat08-strips,1,1,28,103,95,0,96,192,1820,0,0.0,0.003788
p03.pddl,elevators-sat08-strips,1,1,23,130,49,0,50,100,956,0,0.0,0.003954
p04.pddl,elevators-sat08-strips,1,1,40,180,375,0,376,752,7660,0,0.003935,0.010303
p05.pddl,elevators-sat08-strips,1,1,36,166,139,0,140,280,2873,0,0.003931,0.007228
