Domain,Problem,Planner,solved,cost,length,expanded,time
scanalyzer-sat11-strips,p06,solver_1,True,66.0,30.0,140.0,0.258072
scanalyzer-sat11-strips,p14,solver_1,True,104.0,44.0,205.0,0.094931
scanalyzer-sat11-strips,p13,solver_1,True,62.0,26.0,82.0,0.013998
scanalyzer-sat11-strips,p17,solver_1,True,136.0,68.0,586.0,0.219841
scanalyzer-sat11-strips,p01,solver_1,True,30.0,10.0,14.0,0.341369
scanalyzer-sat11-strips,p20,solver_1,True,131.0,79.0,708.0,10.855934
scanalyzer-sat11-strips,p09,solver_1,True,88.0,44.0,259.0,0.034278
scanalyzer-sat11-strips,p08,solver_1,True,60.0,30.0,85.0,0.2277
scanalyzer-sat11-strips,p05,solver_1,True,78.0,26.0,91.0,0.083964
scanalyzer-sat11-strips,p04,solver_1,True,72.0,36.0,179.0,0.016882
scanalyzer-sat11-strips,p03,solver_1,True,48.0,26.0,77.0,0.006833
scanalyzer-sat11-strips,p07,solver_1,True,90.0,30.0,120.0,0.158316
scanalyzer-sat11-strips,p16,solver_1,True,118.0,50.0,258.0,0.159331
scanalyzer-sat11-strips,p19,solver_1,True,179.0,79.0,1421.0,16.698179
scanalyzer-sat11-strips,p18,solver_1,True,45.0,15.0,28.0,8.64565
scanalyzer-sat11-strips,p02,solver_1,True,66.0,22.0,66.0,0.044303
scanalyzer-sat11-strips,p10,solver_1,True,90.0,38.0,158.0,0.053084
scanalyzer-sat11-strips,p12,solver_1,True,76.0,32.0,117.0,0.026685
scanalyzer-sat11-strips,p15,solver_1,True,120.0,60.0,463.0,0.125218
scanalyzer-sat11-strips,p11,solver_1,True,104.0,52.0,354.0,0.064615
folding-sat23-strips,p06,solver_1,False,,,,
folding-sat23-strips,p14,solver_1,True,7.0,114.0,176.0,0.972543
folding-sat23-strips,p13,solver_1,False,,,,
folding-sat23-strips,p17,solver_1,True,21.0,344.0,2248.0,30.097151
folding-sat23-strips,p01,solver_1,True,12.0,178.0,769.0,0.835702
folding-sat23-strips,p20,solver_1,False,,,,
folding-sat23-strips,p09,solver_1,True,10.0,178.0,274.0,2.571555
