name,domain,solved,time-seconds
p01.pddl,scanalyzer-sat11-strips,True,122.6014
p02.pddl,scanalyzer-sat11-strips,False,1.9398
p03.pddl,scanalyzer-sat11-strips,False,300.2158
p04.pddl,scanalyzer-sat11-strips,False,300.5210
p05.pddl,scanalyzer-sat11-strips,False,2.3443
p06.pddl,scanalyzer-sat11-strips,False,300.2519
p07.pddl,scanalyzer-sat11-strips,False,3.9893
p08.pddl,scanalyzer-sat11-strips,False,300.2640
p09.pddl,scanalyzer-sat11-strips,False,0.8589
p10.pddl,scanalyzer-sat11-strips,False,1.9348
p11.pddl,scanalyzer-sat11-strips,False,1.7511
p12.pddl,scanalyzer-sat11-strips,False,0.8730
p13.pddl,scanalyzer-sat11-strips,False,300.5939
p14.pddl,scanalyzer-sat11-strips,False,2.8405
p15.pddl,scanalyzer-sat11-strips,False,2.8384
p16.pddl,scanalyzer-sat11-strips,False,6.9535
p17.pddl,scanalyzer-sat11-strips,False,5.3663
p18.pddl,scanalyzer-sat11-strips,False,1.9009
p19.pddl,scanalyzer-sat11-strips,False,1.0737
p20.pddl,scanalyzer-sat11-strips,False,1.1110
p01.pddl,folding-sat23-strips,False,0.4152
p02.pddl,folding-sat23-strips,False,2.6437
p03.pddl,folding-sat23-strips,False,6.9572
p04.pddl,folding-sat23-strips,False,11.4738
p05.pddl,folding-sat23-strips,False,12.2140
p06.pddl,folding-sat23-strips,False,8.8845
p07.pddl,folding-sat23-strips,False,10.2647
p08.pddl,folding-sat23-strips,False,6.2215
p09.pddl,folding-sat23-strips,False,8.6868
p10.pddl,folding-sat23-strips,False,8.2936
p11.pddl,folding-sat23-strips,False,7.9588
p12.pddl,folding-sat23-strips,False,7.2492
p13.pddl,folding-sat23-strips,False,9.0098
p14.pddl,folding-sat23-strips,False,7.3576
p15.pddl,folding-sat23-strips,False,6.1069
p16.pddl,folding-sat23-strips,False,5.8784
p17.pddl,folding-sat23-strips,False,7.2376
p18.pddl,folding-sat23-strips,False,8.4446
p19.pddl,folding-sat23-strips,False,8.9551
p20.pddl,folding-sat23-strips,False,10.2101
p01.pddl,woodworking-sat11-strips,False,2.0043
p02.pddl,woodworking-sat11-strips,False,0.5421
p03.pddl,woodworking-sat11-strips,False,0.3922
