name,domain,solved,time-seconds
p01.pddl,scanalyzer-sat11-strips,True,9.8521
p02.pddl,scanalyzer-sat11-strips,True,6.6844
p03.pddl,scanalyzer-sat11-strips,True,1.3363
p04.pddl,scanalyzer-sat11-strips,True,4.4785
p05.pddl,scanalyzer-sat11-strips,True,15.5390
p06.pddl,scanalyzer-sat11-strips,True,6.5959
p07.pddl,scanalyzer-sat11-strips,True,48.5335
p08.pddl,scanalyzer-sat11-strips,True,7.4306
p09.pddl,scanalyzer-sat11-strips,True,18.8273
p10.pddl,scanalyzer-sat11-strips,True,13.6598
p11.pddl,scanalyzer-sat11-strips,True,68.3153
p12.pddl,scanalyzer-sat11-strips,True,4.7733
p13.pddl,scanalyzer-sat11-strips,True,2.2150
p14.pddl,scanalyzer-sat11-strips,True,27.2286
p15.pddl,scanalyzer-sat11-strips,True,216.8406
p16.pddl,scanalyzer-sat11-strips,True,60.5219
p17.pddl,scanalyzer-sat11-strips,False,306.1303
p18.pddl,scanalyzer-sat11-strips,False,301.6899
p19.pddl,scanalyzer-sat11-strips,False,301.2235
p20.pddl,scanalyzer-sat11-strips,False,301.2347
p01.pddl,folding-sat23-strips,False,300.9377
p02.pddl,folding-sat23-strips,False,272.6008
p03.pddl,folding-sat23-strips,False,94.2536
p04.pddl,folding-sat23-strips,False,133.2815
p05.pddl,folding-sat23-strips,False,156.3874
p06.pddl,folding-sat23-strips,False,270.1816
p07.pddl,folding-sat23-strips,False,265.0246
p08.pddl,folding-sat23-strips,False,284.9621
p09.pddl,folding-sat23-strips,False,300.6187
p10.pddl,folding-sat23-strips,False,102.0853
p11.pddl,folding-sat23-strips,False,88.4476
p12.pddl,folding-sat23-strips,False,167.1665
p13.pddl,folding-sat23-strips,False,273.7369
p14.pddl,folding-sat23-strips,False,295.0458
p15.pddl,folding-sat23-strips,False,286.7832
p16.pddl,folding-sat23-strips,False,94.9052
p17.pddl,folding-sat23-strips,False,96.1299
p18.pddl,folding-sat23-strips,False,152.9396
p19.pddl,folding-sat23-strips,False,264.0135
p20.pddl,folding-sat23-strips,False,303.6171
p01.pddl,woodworking-sat11-strips,True,21.0475
p02.pddl,woodworking-sat11-strips,False,300.1357
p03.pddl,woodworking-sat11-strips,False,300.1260
p04.pddl,woodworking-sat11-strips,False,300.1381
p05.pddl,woodworking-sat11-strips,False,300.1452
p06.pddl,woodworking-sat11-strips,False,300.1305
p07.pddl,woodworking-sat11-strips,False,300.1097
p08.pddl,woodworking-sat11-strips,False,300.1272
p09.pddl,woodworking-sat11-strips,False,300.1128
p11.pddl,woodworking-sat11-strips,False,300.1369
p12.pddl,woodworking-sat11-strips,False,300.1531
p13.pddl,woodworking-sat11-strips,False,300.1420
p14.pddl,woodworking-sat11-strips,False,300.1513
p15.pddl,woodworking-sat11-strips,False,300.1614
p16.pddl,woodworking-sat11-strips,False,300.1683
p17.pddl,woodworking-sat11-strips,False,300.1023
p18.pddl,woodworking-sat11-strips,False,300.1149
p19.pddl,woodworking-sat11-strips,False,300.1183
p20.pddl,woodworking-sat11-strips,False,300.1296
p1-11-4-15.pddl,barman-sat14-strips,False,300.0906
p1-11-5-15.pddl,barman-sat14-strips,False,300.0813
p1-11-5-16.pddl,barman-sat14-strips,False,300.0820
p2-10-4-13.pddl,barman-sat14-strips,False,300.0822
p2-11-4-15.pddl,barman-sat14-strips,False,300.0702
p2-11-5-15.pddl,barman-sat14-strips,False,300.0735
p2-11-5-16.pddl,barman-sat14-strips,False,300.0719
p2-11-5-17.pddl,barman-sat14-strips,False,300.0811
p3-10-4-13.pddl,barman-sat14-strips,False,300.0743
p3-11-4-15.pddl,barman-sat14-strips,False,300.0777
p3-11-5-15.pddl,barman-sat14-strips,False,300.0755
p3-11-5-16.pddl,barman-sat14-strips,False,300.0784
p3-11-5-17.pddl,barman-sat14-strips,False,300.0821
p4-11-4-14.pddl,barman-sat14-strips,False,300.0779
p4-11-4-15.pddl,barman-sat14-strips,False,300.0747
p4-11-5-15.pddl,barman-sat14-strips,False,300.0761
p5-10-4-13.pddl,barman-sat14-strips,False,300.0688
p5-11-4-15.pddl,barman-sat14-strips,False,300.0754
p5-11-5-15.pddl,barman-sat14-strips,False,300.0760
p5-11-5-16.pddl,barman-sat14-strips,False,300.0784
p01.pddl,pegsol-sat11-strips,True,9.3903
p02.pddl,pegsol-sat11-strips,True,1.5278
p03.pddl,pegsol-sat11-strips,True,3.9085
p04.pddl,pegsol-sat11-strips,True,1.4962
p05.pddl,pegsol-sat11-strips,True,2.3236
p06.pddl,pegsol-sat11-strips,True,1.5204
p07.pddl,pegsol-sat11-strips,True,1.6351
p08.pddl,pegsol-sat11-strips,True,1.4758
p09.pddl,pegsol-sat11-strips,True,1.9405
p10.pddl,pegsol-sat11-strips,True,1.5133
p11.pddl,pegsol-sat11-strips,True,1.7466
p12.pddl,pegsol-sat11-strips,True,1.5805
p13.pddl,pegsol-sat11-strips,True,1.7248
p14.pddl,pegsol-sat11-strips,True,1.5275
p15.pddl,pegsol-sat11-strips,True,1.5847
p16.pddl,pegsol-sat11-strips,True,1.5944
p17.pddl,pegsol-sat11-strips,True,1.5117
p18.pddl,pegsol-sat11-strips,True,93.3173
p19.pddl,pegsol-sat11-strips,True,1.9719
p20.pddl,pegsol-sat11-strips,True,3.0735
p01.pddl,caldera-sat18-strips,True,7.3124
p02.pddl,caldera-sat18-strips,True,7.6585
p03.pddl,caldera-sat18-strips,True,42.4629
p04.pddl,caldera-sat18-strips,True,44.8454
p05.pddl,caldera-sat18-strips,True,48.0843
p06.pddl,caldera-sat18-strips,True,43.5722
p07.pddl,caldera-sat18-strips,False,301.1331
p08.pddl,caldera-sat18-strips,False,300.7627
p09.pddl,caldera-sat18-strips,False,94.8680
p10.pddl,caldera-sat18-strips,False,300.5121
p11.pddl,caldera-sat18-strips,False,300.7027
p12.pddl,caldera-sat18-strips,False,304.3875
p13.pddl,caldera-sat18-strips,False,76.6100
p14.pddl,caldera-sat18-strips,False,302.3490
p15.pddl,caldera-sat18-strips,False,231.1105
p16.pddl,caldera-sat18-strips,False,302.2435
p17.pddl,caldera-sat18-strips,False,99.2442
p18.pddl,caldera-sat18-strips,False,100.6673
p19.pddl,caldera-sat18-strips,False,302.9810
p20.pddl,caldera-sat18-strips,False,302.3600
p_28_2.pddl,parking-sat14-strips,False,300.0851
p_28_3.pddl,parking-sat14-strips,False,300.1000
p_30_1.pddl,parking-sat14-strips,False,300.0662
p_30_2.pddl,parking-sat14-strips,False,300.0604
p_30_3.pddl,parking-sat14-strips,False,300.0603
p_32_1.pddl,parking-sat14-strips,False,300.0696
p_32_2.pddl,parking-sat14-strips,False,300.0743
p_32_3.pddl,parking-sat14-strips,False,300.0730
p_34_1.pddl,parking-sat14-strips,False,300.0855
p_34_2.pddl,parking-sat14-strips,False,300.0812
p_34_3.pddl,parking-sat14-strips,False,300.0711
p_36_1.pddl,parking-sat14-strips,False,300.0834
p_36_2.pddl,parking-sat14-strips,False,300.0805
p_36_3.pddl,parking-sat14-strips,False,300.0874
p_38_1.pddl,parking-sat14-strips,False,300.0919
p_38_2.pddl,parking-sat14-strips,False,300.0836
p_38_3.pddl,parking-sat14-strips,False,300.0943
p_40_1.pddl,parking-sat14-strips,False,300.1005
p_40_2.pddl,parking-sat14-strips,False,300.0932
p_40_3.pddl,parking-sat14-strips,False,300.0980
p01.pddl,elevators-sat11-strips,False,300.1018
p02.pddl,elevators-sat11-strips,False,300.1430
p03.pddl,elevators-sat11-strips,False,300.1319
p04.pddl,elevators-sat11-strips,False,300.0861
p05.pddl,elevators-sat11-strips,False,300.0781
p06.pddl,elevators-sat11-strips,False,300.1348
p07.pddl,elevators-sat11-strips,False,300.1269
p08.pddl,elevators-sat11-strips,False,300.1503
p09.pddl,elevators-sat11-strips,False,300.1419
p10.pddl,elevators-sat11-strips,False,300.1472
p11.pddl,elevators-sat11-strips,False,300.1632
p12.pddl,elevators-sat11-strips,False,300.1679
p13.pddl,elevators-sat11-strips,False,300.1699
p14.pddl,elevators-sat11-strips,False,300.1691
p15.pddl,elevators-sat11-strips,False,300.1737
p16.pddl,elevators-sat11-strips,False,300.4721
p17.pddl,elevators-sat11-strips,False,300.3528
p18.pddl,elevators-sat11-strips,False,300.4158
p19.pddl,elevators-sat11-strips,False,300.4215
p20.pddl,elevators-sat11-strips,False,300.4390
bootstrap-typed-01.pddl,thoughtful-sat14-strips,True,79.8476
bootstrap-typed-02.pddl,thoughtful-sat14-strips,True,78.1142
bootstrap-typed-03.pddl,thoughtful-sat14-strips,True,75.2214
bootstrap-typed-04.pddl,thoughtful-sat14-strips,True,78.4703
bootstrap-typed-05.pddl,thoughtful-sat14-strips,True,75.1796
p11_6_53-typed.pddl,thoughtful-sat14-strips,False,136.6263
p11_6_59-typed.pddl,thoughtful-sat14-strips,False,144.4393
p11_6_62-typed.pddl,thoughtful-sat14-strips,False,151.2917
p13_7_78-typed.pddl,thoughtful-sat14-strips,False,141.1188
p13_7_79-typed.pddl,thoughtful-sat14-strips,False,143.2794
p13_7_86-typed.pddl,thoughtful-sat14-strips,False,140.4219
target-typed-20.pddl,thoughtful-sat14-strips,False,300.4851
target-typed-21.pddl,thoughtful-sat14-strips,False,185.6640
target-typed-22.pddl,thoughtful-sat14-strips,False,300.5480
target-typed-23.pddl,thoughtful-sat14-strips,False,178.9279
target-typed-24.pddl,thoughtful-sat14-strips,False,141.1132
target-typed-25.pddl,thoughtful-sat14-strips,False,140.2642
target-typed-26.pddl,thoughtful-sat14-strips,False,125.5348
target-typed-27.pddl,thoughtful-sat14-strips,False,300.4569
target-typed-28.pddl,thoughtful-sat14-strips,False,141.0147
p01.pddl,transport-sat11-strips,True,57.5550
p02.pddl,transport-sat11-strips,True,100.3235
p03.pddl,transport-sat11-strips,False,300.2705
p04.pddl,transport-sat11-strips,False,300.1036
p05.pddl,transport-sat11-strips,False,300.1380
p06.pddl,transport-sat11-strips,False,300.1866
p07.pddl,transport-sat11-strips,False,300.2123
p08.pddl,transport-sat11-strips,False,300.1940
p09.pddl,transport-sat11-strips,False,300.2487
p10.pddl,transport-sat11-strips,False,300.2248
p11.pddl,transport-sat11-strips,False,300.1762
p12.pddl,transport-sat11-strips,False,300.1884
p13.pddl,transport-sat11-strips,False,300.1838
p14.pddl,transport-sat11-strips,False,301.1012
p15.pddl,transport-sat11-strips,False,300.7662
p16.pddl,transport-sat11-strips,False,300.7262
p17.pddl,transport-sat11-strips,False,302.0745
p18.pddl,transport-sat11-strips,False,301.6751
p19.pddl,transport-sat11-strips,False,301.6180
p20.pddl,transport-sat11-strips,False,301.8838
pfile08-031.pddl,parking-sat11-strips,False,300.0522
pfile08-032.pddl,parking-sat11-strips,True,282.5696
pfile09-033.pddl,parking-sat11-strips,False,300.0551
pfile09-034.pddl,parking-sat11-strips,False,300.4194
pfile09-035.pddl,parking-sat11-strips,False,300.0552
pfile09-036.pddl,parking-sat11-strips,False,300.0517
pfile10-037.pddl,parking-sat11-strips,False,300.0581
pfile10-038.pddl,parking-sat11-strips,False,300.0557
pfile10-039.pddl,parking-sat11-strips,False,300.0540
pfile10-040.pddl,parking-sat11-strips,False,300.0518
pfile11-041.pddl,parking-sat11-strips,False,300.0661
pfile11-042.pddl,parking-sat11-strips,False,300.0586
pfile11-043.pddl,parking-sat11-strips,False,300.0662
pfile11-044.pddl,parking-sat11-strips,False,300.0949
pfile12-045.pddl,parking-sat11-strips,False,300.0694
pfile12-046.pddl,parking-sat11-strips,False,300.0716
pfile12-047.pddl,parking-sat11-strips,False,300.0558
pfile12-048.pddl,parking-sat11-strips,False,300.0822
pfile13-049.pddl,parking-sat11-strips,False,300.0697
pfile13-050.pddl,parking-sat11-strips,False,300.0673
p01.pddl,recharging-robots-sat23-strips,False,300.0620
p02.pddl,recharging-robots-sat23-strips,False,300.0729
p03.pddl,recharging-robots-sat23-strips,False,300.0886
p04.pddl,recharging-robots-sat23-strips,False,300.1843
p05.pddl,recharging-robots-sat23-strips,False,300.2210
p06.pddl,recharging-robots-sat23-strips,True,5.4018
p07.pddl,recharging-robots-sat23-strips,False,300.1692
p08.pddl,recharging-robots-sat23-strips,False,300.1471
p09.pddl,recharging-robots-sat23-strips,True,28.2854
p10.pddl,recharging-robots-sat23-strips,False,300.1351
p01.pddl,data-network-sat18-strips,False,310.9828
p02.pddl,data-network-sat18-strips,True,89.4451
p03.pddl,data-network-sat18-strips,False,330.5674
p04.pddl,data-network-sat18-strips,False,348.8671
p05.pddl,data-network-sat18-strips,False,502.6524
p06.pddl,data-network-sat18-strips,False,575.4971
p07.pddl,data-network-sat18-strips,False,612.7243
p08.pddl,data-network-sat18-strips,False,900.5847
p09.pddl,data-network-sat18-strips,False,817.7363
p01.pddl,settlers-sat18-strips,False,244.1006
p02.pddl,settlers-sat18-strips,False,302.5896
p03.pddl,settlers-sat18-strips,False,306.8159
p04.pddl,settlers-sat18-strips,False,304.4111
p05.pddl,settlers-sat18-strips,False,305.5665
p06.pddl,settlers-sat18-strips,False,306.4594
p07.pddl,settlers-sat18-strips,False,307.9987
p08.pddl,settlers-sat18-strips,False,301.8834
p09.pddl,settlers-sat18-strips,False,303.3259,TIMEOUT
p10.pddl,settlers-sat18-strips,False,303.2255,TIMEOUT
p01.pddl,city-car-sat14-strips,True,1.2757,
p02.pddl,city-car-sat14-strips,True,1.5333,
p03.pddl,city-car-sat14-strips,True,2.0972,
p04.pddl,city-car-sat14-strips,True,2.2690,
p05.pddl,city-car-sat14-strips,True,3.1568,
