name,domain,solved,time-seconds
p01.pddl,scanalyzer-sat11-strips,True,13.2478
p02.pddl,scanalyzer-sat11-strips,True,3.7723
p03.pddl,scanalyzer-sat11-strips,True,0.5755
p04.pddl,scanalyzer-sat11-strips,True,1.1173
p05.pddl,scanalyzer-sat11-strips,True,7.8361
p06.pddl,scanalyzer-sat11-strips,True,9.6781
p07.pddl,scanalyzer-sat11-strips,True,12.8925
p08.pddl,scanalyzer-sat11-strips,True,8.4607
p09.pddl,scanalyzer-sat11-strips,True,2.1397
p10.pddl,scanalyzer-sat11-strips,True,4.7247
p11.pddl,scanalyzer-sat11-strips,True,4.3661
p12.pddl,scanalyzer-sat11-strips,True,2.2691
p13.pddl,scanalyzer-sat11-strips,True,1.1636
p14.pddl,scanalyzer-sat11-strips,True,8.2399
p15.pddl,scanalyzer-sat11-strips,True,7.8526
p16.pddl,scanalyzer-sat11-strips,True,13.3906
p17.pddl,scanalyzer-sat11-strips,True,13.1831
p18.pddl,scanalyzer-sat11-strips,True,132.0573
p19.pddl,scanalyzer-sat11-strips,True,110.7390
p20.pddl,scanalyzer-sat11-strips,True,84.3861
p01.pddl,folding-sat23-strips,True,34.4117
p02.pddl,folding-sat23-strips,False,300.5855
p03.pddl,folding-sat23-strips,True,243.7808
p04.pddl,folding-sat23-strips,False,301.5407
p05.pddl,folding-sat23-strips,False,301.8919
p06.pddl,folding-sat23-strips,False,302.3755
p07.pddl,folding-sat23-strips,False,302.9682
p08.pddl,folding-sat23-strips,True,39.4995
p09.pddl,folding-sat23-strips,True,71.9509
p10.pddl,folding-sat23-strips,False,300.8977
p11.pddl,folding-sat23-strips,True,197.7501
p12.pddl,folding-sat23-strips,False,301.8856
p13.pddl,folding-sat23-strips,False,302.3816
p14.pddl,folding-sat23-strips,True,26.2422
p15.pddl,folding-sat23-strips,True,45.6522
p16.pddl,folding-sat23-strips,True,78.5947
p17.pddl,folding-sat23-strips,True,161.9531
p18.pddl,folding-sat23-strips,True,281.3013
p19.pddl,folding-sat23-strips,False,303.0253
p20.pddl,folding-sat23-strips,False,309.5432
p01.pddl,woodworking-sat11-strips,True,3.5440
p02.pddl,woodworking-sat11-strips,True,7.0276
p03.pddl,woodworking-sat11-strips,True,5.2327
p04.pddl,woodworking-sat11-strips,True,10.8951
p05.pddl,woodworking-sat11-strips,True,6.2673
p06.pddl,woodworking-sat11-strips,True,7.2668
p07.pddl,woodworking-sat11-strips,True,5.1939
p08.pddl,woodworking-sat11-strips,True,7.2984
p09.pddl,woodworking-sat11-strips,True,4.9821
p11.pddl,woodworking-sat11-strips,True,7.5699
p12.pddl,woodworking-sat11-strips,True,7.8270
p13.pddl,woodworking-sat11-strips,True,17.6001
p14.pddl,woodworking-sat11-strips,True,20.9551
p15.pddl,woodworking-sat11-strips,True,29.7524
p16.pddl,woodworking-sat11-strips,True,22.0695
p17.pddl,woodworking-sat11-strips,True,6.9009
p18.pddl,woodworking-sat11-strips,True,7.3181
p19.pddl,woodworking-sat11-strips,True,9.0841
p20.pddl,woodworking-sat11-strips,True,10.6948
p1-11-4-15.pddl,barman-sat14-strips,True,1.7131
p1-11-5-15.pddl,barman-sat14-strips,True,1.7944
p1-11-5-16.pddl,barman-sat14-strips,True,2.0099
p2-10-4-13.pddl,barman-sat14-strips,True,17.3089
p2-11-4-15.pddl,barman-sat14-strips,True,2.9239
p2-11-5-15.pddl,barman-sat14-strips,True,1.6921
p2-11-5-16.pddl,barman-sat14-strips,True,2.2238
p2-11-5-17.pddl,barman-sat14-strips,True,3.7479
p3-10-4-13.pddl,barman-sat14-strips,True,3.2655
p3-11-4-15.pddl,barman-sat14-strips,True,4.2242
p3-11-5-15.pddl,barman-sat14-strips,True,3.2043
p3-11-5-16.pddl,barman-sat14-strips,True,3.6974
p3-11-5-17.pddl,barman-sat14-strips,True,5.0483
p4-11-4-14.pddl,barman-sat14-strips,True,1.5047
p4-11-4-15.pddl,barman-sat14-strips,False,300.1736
p4-11-5-15.pddl,barman-sat14-strips,True,3.1833
p5-10-4-13.pddl,barman-sat14-strips,True,1.2756
p5-11-4-15.pddl,barman-sat14-strips,True,1.7206
p5-11-5-15.pddl,barman-sat14-strips,True,3.3175
p5-11-5-16.pddl,barman-sat14-strips,True,1.9626
p01.pddl,pegsol-sat11-strips,True,1.3429
p02.pddl,pegsol-sat11-strips,True,1.2388
p03.pddl,pegsol-sat11-strips,True,1.1735
p04.pddl,pegsol-sat11-strips,True,1.1740
p05.pddl,pegsol-sat11-strips,True,1.1848
p06.pddl,pegsol-sat11-strips,True,1.1899
p07.pddl,pegsol-sat11-strips,True,1.1839
p08.pddl,pegsol-sat11-strips,True,1.1534
p09.pddl,pegsol-sat11-strips,True,1.2049
p10.pddl,pegsol-sat11-strips,True,1.1925
p11.pddl,pegsol-sat11-strips,True,1.1903
p12.pddl,pegsol-sat11-strips,True,1.1881
p13.pddl,pegsol-sat11-strips,True,1.1855
