Domain,solver_1,solver_2,solver_3,solver_4,solver_5,solver_6,solver_7
agricola-sat18-strips,12,12,4,11,12,12,2
barman-sat11-strips,20,18,8,0,3,0,16
barman-sat14-strips,20,12,1,0,6,0,16
caldera-sat18-strips,16,12,18,15,11,16,16
caldera-split-sat18-strips,7,5,0,2,6,3,0
cave-diving-sat14-strips,7,7,0,7,7,7,0
childsnack-sat14-strips,6,7,0,0,7,3,0
city-car-sat14-strips,5,3,0,19,12,20,0
data-network-sat18-strips,13,12,0,2,4,2,0
elevators-sat08-strips,30,30,30,30,11,29,0
elevators-sat11-strips,20,20,16,17,0,9,0
floortile-sat11-strips,6,6,0,9,7,7,0
floortile-sat14-strips,2,2,0,5,2,2,0
folding-sat23-strips,11,5,1,0,4,0,0
ged-sat14-strips,20,19,0,2,0,0,0
genome-edit-distances-sat14-strips,20,20,0,2,0,0,0
hiking-sat14-strips,20,20,0,20,20,20,0
maintenance-sat14-strips,11,10,6,1,10,3,10
nomystery-sat11-strips,12,8,0,16,9,7,0
nurikabe-sat18-strips,9,9,2,10,9,11,3
parking-sat11-strips,20,20,3,20,17,19,9
parking-sat14-strips,20,13,1,13,13,10,7
peg-solitaire-sat08-strips,30,30,4,30,30,30,4
pegsol-sat11-strips,20,20,1,20,20,20,0
recharging-robots-sat23-strips,12,11,4,11,11,9,1
ricochet-robots-sat23-strips,10,11,0,0,10,8,0
scanalyzer-3d-sat08-strips,30,28,24,28,30,29,29
scanalyzer-sat11-strips,20,18,17,18,20,19,19
settlers-sat18-strips,19,12,7,8,8,8,0
snake-sat18-strips,5,3,2,1,6,2,3
sokoban-sat08-strips,29,29,1,25,28,21,1
sokoban-sat11-strips,19,19,1,16,18,13,1
spider-sat18-strips,16,15,9,3,18,5,0
termes-sat18-strips,14,9,1,0,12,4,0
tetris-sat14-strips,13,14,0,1,12,10,0
thoughtful-sat14-strips,15,11,10,11,11,13,14
tidybot-sat11-strips,17,16,8,15,16,15,6
transport-sat08-strips,30,27,24,29,21,26,20
transport-sat11-strips,18,11,9,13,3,12,4
transport-sat14-strips,16,7,6,6,4,6,4
visitall-sat11-strips,20,3,4,12,3,3,0
visitall-sat14-strips,20,0,0,3,0,0,0
woodworking-sat08-strips,30,30,8,29,30,30,8
woodworking-sat11-strips,20,20,1,19,20,20,2
